impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_flash_vortex	2	8	1024	128	bf16	0.1718	0.1713	0.8602	0.8599	80.10	20	1		128	8	3	8	1	8	3	0
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.1810	0.1795	0.8781	0.8752	80.10	20	1		128	8	3	8	1	8	3	0
eager_vortex	2	8	1024	128	bf16	0.5979	0.5970	1.9667	1.9801	361.03	20	1		128	8	3	8	1	8	3	0
vortex_fused	2	8	1024	128	bf16	0.0888	0.0877	0.7382	0.7307	108.26	20	1		128	8	3	8	1	8	3	0
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0586	0.0568	0.2220	0.2209	48.13	20	1		128	8	3	8	1	8	3	1
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0477	0.0458	0.2053	0.1866	40.13	20	1		128	8	3	8	1	8	3	1
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0739	0.0731	0.3110	0.3102	40.13	20	1		128	8	3	8	1	8	3	1
sdpa_flash_vortex	2	8	1024	128	bf16	0.2512	0.2489	1.5721	1.5887	176.16	20	1		128	8	3	8	1	8	3	1
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.3298	0.2637	1.6857	1.6928	176.16	20	1		128	8	3	8	1	8	3	1
eager_vortex	2	8	1024	128	bf16	0.6698	0.6693	2.6093	2.5648	361.07	20	1		128	8	3	8	1	8	3	1
vortex_fused	2	8	1024	128	bf16	0.0978	0.0967	0.7921	0.7891	108.26	20	1		128	8	3	8	1	8	3	1
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0589	0.0569	0.2177	0.2172	48.13	20	1		128	8	3	8	1	8	3	3
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0490	0.0475	0.2505	0.2544	40.13	20	1		128	8	3	8	1	8	3	3
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0860	0.0849	0.3605	0.3583	40.13	20	1		128	8	3	8	1	8	3	3
sdpa_flash_vortex	2	8	1024	128	bf16	0.3707	0.3699	2.5180	2.5432	240.29	20	1		128	8	3	8	1	8	3	3
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.5733	0.5706	2.4896	2.3509	240.29	20	1		128	8	3	8	1	8	3	3
eager_vortex	2	8	1024	128	bf16	0.7955	0.7954	3.7537	3.8694	373.22	20	1		128	8	3	8	1	8	3	3
vortex_fused	2	8	1024	128	bf16	0.1219	0.1204	1.0468	1.0312	108.26	20	1		128	8	3	8	1	8	3	3
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0592	0.0573	0.2195	0.2176	48.13	20	1		128	8	3	8	1	8	3	5
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0480	0.0468	0.2113	0.1920	40.13	20	1		128	8	3	8	1	8	3	5
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0744	0.0735	0.3396	0.3532	40.13	20	1		128	8	3	8	1	8	3	5
sdpa_flash_vortex	2	8	1024	128	bf16	0.5141	0.5140	2.4568	2.5631	304.41	20	1		128	8	3	8	1	8	3	5
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.5885	0.5287	3.3272	3.3759	304.41	20	1		128	8	3	8	1	8	3	5
eager_vortex	2	8	1024	128	bf16	0.9362	0.9356	4.7578	4.7061	437.35	20	1		128	8	3	8	1	8	3	5
vortex_fused	2	8	1024	128	bf16	0.1386	0.1378	1.3639	1.3529	108.26	20	1		128	8	3	8	1	8	3	5
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0582	0.0571	0.2188	0.2172	48.13	20	1		128	8	3	8	1	8	3	7
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0474	0.0460	0.1903	0.1881	40.13	20	1		128	8	3	8	1	8	3	7
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0733	0.0724	0.3120	0.3092	40.13	20	1		128	8	3	8	1	8	3	7
sdpa_flash_vortex	2	8	1024	128	bf16	0.6334	0.6328	2.5826	2.6040	368.54	20	1		128	8	3	8	1	8	3	7
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.6464	0.6466	2.6269	2.6333	368.54	20	1		128	8	3	8	1	8	3	7
eager_vortex	2	8	1024	128	bf16	1.0375	1.0369	3.2041	3.2071	501.47	20	1		128	8	3	8	1	8	3	7
vortex_fused	2	8	1024	128	bf16	0.2629	0.1600	1.3391	1.3216	108.26	20	1		128	8	3	8	1	8	3	7
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1261	0.1250	0.4504	0.4477	96.25	20	1		128	8	3	8	1	8	3	0
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0811	0.0796	0.3013	0.2925	80.25	20	1		128	8	3	8	1	8	3	0
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1792	0.1775	0.8115	0.8120	80.25	20	1		128	8	3	8	1	8	3	0
sdpa_flash_vortex	2	8	2048	128	bf16	0.3528	0.3521	1.0411	1.0405	160.16	20	1		128	8	3	8	1	8	3	0
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.3059	0.3060	0.8632	0.8638	160.16	20	1		128	8	3	8	1	8	3	0
eager_vortex	2	8	2048	128	bf16	1.8730	1.8715	4.9354	4.9330	1172.03	20	1		128	8	3	8	1	8	3	0
vortex_fused	2	8	2048	128	bf16	0.1686	0.1685	0.7828	0.7831	152.40	20	1		128	8	3	8	1	8	3	0
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1276	0.1267	0.4468	0.4449	96.25	20	1		128	8	3	8	1	8	3	1
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0809	0.0793	0.3182	0.2933	80.25	20	1		128	8	3	8	1	8	3	1
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1786	0.1782	0.8117	0.8101	80.25	20	1		128	8	3	8	1	8	3	1
sdpa_flash_vortex	2	8	2048	128	bf16	0.4756	0.4751	1.5152	1.5181	288.22	20	1		128	8	3	8	1	8	3	1
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.4718	0.4700	1.3939	1.3841	288.22	20	1		128	8	3	8	1	8	3	1
eager_vortex	2	8	2048	128	bf16	1.9957	1.9932	5.3106	5.3036	1172.07	20	1		128	8	3	8	1	8	3	1
vortex_fused	2	8	2048	128	bf16	0.2040	0.2020	1.1132	1.1017	152.40	20	1		128	8	3	8	1	8	3	1
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1253	0.1240	0.4524	0.4512	96.25	20	1		128	8	3	8	1	8	3	3
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0803	0.0796	0.3090	0.3087	80.25	20	1		128	8	3	8	1	8	3	3
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1798	0.1798	0.8148	0.8134	80.25	20	1		128	8	3	8	1	8	3	3
sdpa_flash_vortex	2	8	2048	128	bf16	0.7092	0.7087	2.6664	2.6598	416.35	20	1		128	8	3	8	1	8	3	3
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.7048	0.7038	2.2380	2.2492	416.35	20	1		128	8	3	8	1	8	3	3
eager_vortex	2	8	2048	128	bf16	2.2236	2.2216	6.0047	6.0006	1172.07	20	1		128	8	3	8	1	8	3	3
vortex_fused	2	8	2048	128	bf16	0.2634	0.2642	1.8251	1.7771	152.40	20	1		128	8	3	8	1	8	3	3
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1244	0.1232	0.4455	0.4453	96.25	20	1		128	8	3	8	1	8	3	5
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0818	0.0808	0.3762	0.3526	80.25	20	1		128	8	3	8	1	8	3	5
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1910	0.1910	0.8358	0.8353	80.25	20	1		128	8	3	8	1	8	3	5
sdpa_flash_vortex	2	8	2048	128	bf16	0.9445	0.9447	3.7390	3.2002	544.47	20	1		128	8	3	8	1	8	3	5
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.9155	0.9033	4.6224	4.4192	544.47	20	1		128	8	3	8	1	8	3	5
eager_vortex	2	8	2048	128	bf16	2.4681	2.4589	6.7274	6.7238	1172.07	20	1		128	8	3	8	1	8	3	5
vortex_fused	2	8	2048	128	bf16	0.2940	0.2929	2.6424	2.6690	152.40	20	1		128	8	3	8	1	8	3	5
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1239	0.1225	0.4470	0.4462	96.25	20	1		128	8	3	8	1	8	3	7
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0796	0.0789	0.2927	0.2903	80.25	20	1		128	8	3	8	1	8	3	7
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1791	0.1782	0.8105	0.8088	80.25	20	1		128	8	3	8	1	8	3	7
sdpa_flash_vortex	2	8	2048	128	bf16	1.1817	1.1814	3.6466	3.6455	672.60	20	1		128	8	3	8	1	8	3	7
sdpa_cudnn_vortex	2	8	2048	128	bf16	1.1395	1.1338	3.4510	3.4514	672.60	20	1		128	8	3	8	1	8	3	7
eager_vortex	2	8	2048	128	bf16	2.6891	2.6878	7.4592	7.4568	1196.47	20	1		128	8	3	8	1	8	3	7
vortex_fused	2	8	2048	128	bf16	0.3301	0.3306	2.6304	2.6335	152.40	20	1		128	8	3	8	1	8	3	7
sdpa_flash_attn_only	2	8	4096	128	bf16	0.3346	0.3349	1.1800	1.1826	192.50	20	1		128	8	3	8	1	8	3	0
sdpa_cudnn_attn_only	2	8	4096	128	bf16	0.1807	0.1804	0.6492	0.6473	160.50	20	1		128	8	3	8	1	8	3	0
sdpa_memeff_attn_only	2	8	4096	128	bf16	0.5298	0.5306	2.3273	2.3268	160.51	20	1		128	8	3	8	1	8	3	0
sdpa_flash_vortex	2	8	4096	128	bf16	0.8164	0.8127	2.4199	2.4206	320.29	20	1		128	8	3	8	1	8	3	0
sdpa_cudnn_vortex	2	8	4096	128	bf16	0.6702	0.6695	1.8962	1.8970	320.29	20	1		128	8	3	8	1	8	3	0
eager_vortex	2	8	4096	128	bf16	6.9124	6.9081	17.8328	17.8274	4336.03	20	1		128	8	3	8	1	8	3	0
vortex_fused	2	8	4096	128	bf16	0.3233	0.3223	1.7491	1.7419	240.70	20	1		128	8	3	8	1	8	3	0
sdpa_flash_attn_only	2	8	4096	128	bf16	0.3420	0.3421	1.1708	1.1745	192.50	20	1		128	8	3	8	1	8	3	1
sdpa_cudnn_attn_only	2	8	4096	128	bf16	0.1813	0.1809	0.6474	0.6469	160.50	20	1		128	8	3	8	1	8	3	1
sdpa_memeff_attn_only	2	8	4096	128	bf16	0.5290	0.5294	2.3108	2.3067	160.51	20	1		128	8	3	8	1	8	3	1
sdpa_flash_vortex	2	8	4096	128	bf16	1.0683	1.0652	3.1513	3.1535	512.35	20	1		128	8	3	8	1	8	3	1
sdpa_cudnn_vortex	2	8	4096	128	bf16	0.9203	0.9192	2.6196	2.6200	512.35	20	1		128	8	3	8	1	8	3	1
eager_vortex	2	8	4096	128	bf16	7.1903	7.1859	18.6107	18.6030	4336.07	20	1		128	8	3	8	1	8	3	1
vortex_fused	2	8	4096	128	bf16	0.4387	0.4357	2.7524	2.7623	240.70	20	1		128	8	3	8	1	8	3	1
sdpa_flash_attn_only	2	8	4096	128	bf16	0.3425	0.3419	1.1622	1.1605	192.50	20	1		128	8	3	8	1	8	3	3
sdpa_cudnn_attn_only	2	8	4096	128	bf16	0.1786	0.1767	0.6446	0.6442	160.50	20	1		128	8	3	8	1	8	3	3
