impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_flash_attn_only	2	8	512	128	bf16	0.0500	0.0480	0.2016	0.1987	24.06	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0468	0.0436	0.2169	0.1941	20.06	15	1		128	8	2	8	1	8	3	3
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0402	0.0395	0.2223	0.2213	20.06	15	1		128	8	2	8	1	8	3	3
sdpa_flash_vortex	2	8	512	128	bf16	0.3587	0.3565	1.6598	1.6866	152.25	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_vortex	2	8	512	128	bf16	0.3659	0.3649	2.3273	2.2679	152.25	15	1		128	8	2	8	1	8	3	3
eager_vortex	2	8	512	128	bf16	0.4165	0.4143	3.3653	3.2805	186.47	15	1		128	8	2	8	1	8	3	3
vortex_fused	2	8	512	128	bf16	0.1089	0.1074	0.8853	0.8885	86.20	15	1		128	8	2	8	1	8	3	3
sdpa_flash_attn_only	2	8	512	128	bf16	0.0501	0.0473	0.2165	0.2076	24.06	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0510	0.0469	0.2153	0.1969	20.06	15	1		128	8	2	8	1	8	3	0
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0408	0.0396	0.2193	0.2174	20.06	15	1		128	8	2	8	1	8	3	0
sdpa_flash_vortex	2	8	512	128	bf16	0.1747	0.1720	0.8785	0.8506	40.07	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_vortex	2	8	512	128	bf16	0.1829	0.1827	0.8217	0.8197	40.07	15	1		128	8	2	8	1	8	3	0
eager_vortex	2	8	512	128	bf16	0.2571	0.2541	1.8858	1.8671	148.28	15	1		128	8	2	8	1	8	3	0
vortex_fused	2	8	512	128	bf16	0.0812	0.0796	0.7533	0.7329	86.20	15	1		128	8	2	8	1	8	3	0
sdpa_flash_attn_only	2	8	512	128	bf16	0.0507	0.0481	0.1957	0.1940	24.06	15	1		128	8	2	8	1	8	3	1
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0506	0.0490	0.2166	0.1957	20.06	15	1		128	8	2	8	1	8	3	1
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0394	0.0387	0.2559	0.2630	20.06	15	1		128	8	2	8	1	8	3	1
sdpa_flash_vortex	2	8	512	128	bf16	0.2554	0.2514	1.4489	1.4069	120.13	15	1		128	8	2	8	1	8	3	1
sdpa_cudnn_vortex	2	8	512	128	bf16	0.2810	0.2610	1.6286	1.6360	120.13	15	1		128	8	2	8	1	8	3	1
eager_vortex	2	8	512	128	bf16	0.3198	0.3199	2.1711	2.1178	154.35	15	1		128	8	2	8	1	8	3	1
vortex_fused	2	8	512	128	bf16	0.0990	0.0970	0.6761	0.6924	86.20	15	1		128	8	2	8	1	8	3	1
sdpa_flash_attn_only	2	8	512	128	bf16	0.0500	0.0473	0.1979	0.1949	24.06	15	1		128	8	2	8	1	8	3	5
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0475	0.0465	0.3377	0.3317	20.06	15	1		128	8	2	8	1	8	3	5
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0890	0.0807	0.2581	0.2513	20.06	15	1		128	8	2	8	1	8	3	5
sdpa_flash_vortex	2	8	512	128	bf16	0.4576	0.4546	3.1661	3.1022	184.38	15	1		128	8	2	8	1	8	3	5
sdpa_cudnn_vortex	2	8	512	128	bf16	0.7261	0.7229	3.1917	3.0425	184.38	15	1		128	8	2	8	1	8	3	5
eager_vortex	2	8	512	128	bf16	0.5151	0.5137	3.9576	3.9438	218.60	15	1		128	8	2	8	1	8	3	5
vortex_fused	2	8	512	128	bf16	0.1237	0.1227	1.1106	1.1230	86.20	15	1		128	8	2	8	1	8	3	5
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0594	0.0582	0.2238	0.2209	48.13	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0484	0.0463	0.2369	0.2544	40.13	15	1		128	8	2	8	1	8	3	3
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0751	0.0743	0.3931	0.3604	40.13	15	1		128	8	2	8	1	8	3	3
sdpa_flash_vortex	2	8	1024	128	bf16	0.3771	0.3745	1.6120	1.5705	240.29	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.3881	0.3885	1.5852	1.6194	240.29	15	1		128	8	2	8	1	8	3	3
eager_vortex	2	8	1024	128	bf16	0.7975	0.7971	2.3198	2.3226	373.22	15	1		128	8	2	8	1	8	3	3
vortex_fused	2	8	1024	128	bf16	0.1288	0.1284	0.8539	0.8362	108.26	15	1		128	8	2	8	1	8	3	3
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0597	0.0582	0.2215	0.2194	48.13	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0483	0.0463	0.2891	0.3268	40.13	15	1		128	8	2	8	1	8	3	0
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0876	0.0864	0.3666	0.3627	40.13	15	1		128	8	2	8	1	8	3	0
sdpa_flash_vortex	2	8	1024	128	bf16	0.1746	0.1729	1.0462	1.0405	80.10	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.3002	0.2997	1.3596	1.3121	80.10	15	1		128	8	2	8	1	8	3	0
eager_vortex	2	8	1024	128	bf16	0.5948	0.5940	1.9532	1.8924	361.03	15	1		128	8	2	8	1	8	3	0
vortex_fused	2	8	1024	128	bf16	0.0889	0.0881	0.6236	0.6011	108.26	15	1		128	8	2	8	1	8	3	0
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0605	0.0581	0.2233	0.2209	48.13	15	1		128	8	2	8	1	8	3	1
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0499	0.0483	0.2058	0.1956	40.13	15	1		128	8	2	8	1	8	3	1
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0741	0.0732	0.3134	0.3110	40.13	15	1		128	8	2	8	1	8	3	1
sdpa_flash_vortex	2	8	1024	128	bf16	0.2510	0.2486	1.0264	1.0266	176.16	15	1		128	8	2	8	1	8	3	1
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.2626	0.2618	1.4064	1.3756	176.16	15	1		128	8	2	8	1	8	3	1
eager_vortex	2	8	1024	128	bf16	0.6660	0.6637	2.5911	2.6412	361.07	15	1		128	8	2	8	1	8	3	1
vortex_fused	2	8	1024	128	bf16	0.1029	0.1014	0.6865	0.6182	108.26	15	1		128	8	2	8	1	8	3	1
sdpa_flash_attn_only	2	8	512	128	bf16	0.0491	0.0471	0.1918	0.1899	24.06	15	1		128	8	2	8	1	8	3	7
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0464	0.0446	0.1970	0.1879	20.06	15	1		128	8	2	8	1	8	3	7
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0395	0.0386	0.2187	0.2173	20.06	15	1		128	8	2	8	1	8	3	7
sdpa_flash_vortex	2	8	512	128	bf16	0.5484	0.5456	3.8308	3.5819	216.50	15	1		128	8	2	8	1	8	3	7
sdpa_cudnn_vortex	2	8	512	128	bf16	0.5580	0.5564	4.0356	4.2910	216.50	15	1		128	8	2	8	1	8	3	7
eager_vortex	2	8	512	128	bf16	0.6106	0.6054	5.4885	5.6617	250.72	15	1		128	8	2	8	1	8	3	7
vortex_fused	2	8	512	128	bf16	0.1390	0.1381	1.2361	1.2470	86.20	15	1		128	8	2	8	1	8	3	7
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0753	0.0727	0.2237	0.2231	48.13	15	1		128	8	2	8	1	8	3	5
