impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_flash_vortex	2	8	512	128	bf16	0.4540	0.4520	2.2342	2.1756	184.38	15	1		128	8	2	8	1	8	3	5
sdpa_cudnn_vortex	2	8	512	128	bf16	0.4719	0.4628	3.0966	3.1070	184.38	15	1		128	8	2	8	1	8	3	5
eager_vortex	2	8	512	128	bf16	0.5086	0.5051	4.4816	4.3737	218.60	15	1		128	8	2	8	1	8	3	5
vortex_fused	2	8	512	128	bf16	0.1231	0.1215	1.1472	1.1441	86.20	15	1		128	8	2	8	1	8	3	5
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0595	0.0586	0.2225	0.2214	48.13	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0496	0.0467	0.1996	0.1938	40.13	15	1		128	8	2	8	1	8	3	3
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0756	0.0748	0.3155	0.3147	40.13	15	1		128	8	2	8	1	8	3	3
sdpa_flash_vortex	2	8	1024	128	bf16	0.3815	0.3813	1.7308	1.7085	240.29	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.3945	0.3928	2.2406	2.2507	240.29	15	1		128	8	2	8	1	8	3	3
eager_vortex	2	8	1024	128	bf16	0.8057	0.8047	2.8367	2.8585	373.22	15	1		128	8	2	8	1	8	3	3
vortex_fused	2	8	1024	128	bf16	0.1314	0.1300	1.0805	1.0769	108.26	15	1		128	8	2	8	1	8	3	3
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1274	0.1258	0.5044	0.4567	96.25	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0827	0.0822	0.3755	0.3732	80.25	15	1		128	8	2	8	1	8	3	0
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1924	0.1931	0.8472	0.8421	80.25	15	1		128	8	2	8	1	8	3	0
sdpa_flash_vortex	2	8	2048	128	bf16	0.3523	0.3519	1.1265	1.1419	160.16	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.3052	0.3048	1.1281	1.1030	160.16	15	1		128	8	2	8	1	8	3	0
eager_vortex	2	8	2048	128	bf16	1.8703	1.8685	4.9231	4.9147	1172.03	15	1		128	8	2	8	1	8	3	0
vortex_fused	2	8	2048	128	bf16	0.1625	0.1619	0.9343	0.9328	152.40	15	1		128	8	2	8	1	8	3	0
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1297	0.1281	0.4493	0.4477	96.25	15	1		128	8	2	8	1	8	3	1
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0823	0.0810	0.3293	0.3034	80.25	15	1		128	8	2	8	1	8	3	1
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1817	0.1821	0.8149	0.8149	80.25	15	1		128	8	2	8	1	8	3	1
sdpa_flash_vortex	2	8	2048	128	bf16	0.4750	0.4747	1.6720	1.7704	288.22	15	1		128	8	2	8	1	8	3	1
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.4719	0.4707	1.7376	1.7656	288.22	15	1		128	8	2	8	1	8	3	1
eager_vortex	2	8	2048	128	bf16	1.9827	1.9808	5.2863	5.2853	1172.07	15	1		128	8	2	8	1	8	3	1
vortex_fused	2	8	2048	128	bf16	0.2097	0.2107	1.2259	1.2140	152.40	15	1		128	8	2	8	1	8	3	1
sdpa_flash_attn_only	2	8	1024	128	bf16	0.0605	0.0584	0.2221	0.2182	48.13	15	1		128	8	2	8	1	8	3	5
sdpa_cudnn_attn_only	2	8	1024	128	bf16	0.0503	0.0476	0.2443	0.2526	40.13	15	1		128	8	2	8	1	8	3	5
sdpa_memeff_attn_only	2	8	1024	128	bf16	0.0747	0.0741	0.3125	0.3099	40.13	15	1		128	8	2	8	1	8	3	5
sdpa_flash_vortex	2	8	1024	128	bf16	0.5095	0.5066	2.3178	2.1816	304.41	15	1		128	8	2	8	1	8	3	5
sdpa_cudnn_vortex	2	8	1024	128	bf16	0.5260	0.5194	3.1552	3.3161	304.41	15	1		128	8	2	8	1	8	3	5
eager_vortex	2	8	1024	128	bf16	0.9285	0.9274	4.4281	4.8400	437.35	15	1		128	8	2	8	1	8	3	5
vortex_fused	2	8	1024	128	bf16	0.1462	0.1448	1.4482	1.4529	108.26	15	1		128	8	2	8	1	8	3	5
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1281	0.1274	0.4474	0.4457	96.25	15	1		128	8	2	8	1	8	3	5
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0818	0.0807	0.3360	0.3562	80.25	15	1		128	8	2	8	1	8	3	5
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1800	0.1787	0.8103	0.8107	80.25	15	1		128	8	2	8	1	8	3	5
sdpa_flash_vortex	2	8	2048	128	bf16	0.9466	0.9450	3.0049	2.9606	544.47	15	1		128	8	2	8	1	8	3	5
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.9288	0.9387	3.1938	3.2470	544.47	15	1		128	8	2	8	1	8	3	5
eager_vortex	2	8	2048	128	bf16	2.4554	2.4545	6.7638	6.7456	1172.07	15	1		128	8	2	8	1	8	3	5
vortex_fused	2	8	2048	128	bf16	0.2990	0.2996	2.4930	2.4297	152.40	15	1		128	8	2	8	1	8	3	5
sdpa_flash_attn_only	2	8	2048	128	bf16	0.1282	0.1269	0.4491	0.4484	96.25	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_attn_only	2	8	2048	128	bf16	0.0799	0.0795	0.3051	0.2982	80.25	15	1		128	8	2	8	1	8	3	3
sdpa_memeff_attn_only	2	8	2048	128	bf16	0.1793	0.1800	0.8126	0.8124	80.25	15	1		128	8	2	8	1	8	3	3
sdpa_flash_vortex	2	8	2048	128	bf16	0.7090	0.7093	2.3012	2.2612	416.35	15	1		128	8	2	8	1	8	3	3
sdpa_cudnn_vortex	2	8	2048	128	bf16	0.7053	0.7018	2.4837	2.5137	416.35	15	1		128	8	2	8	1	8	3	3
eager_vortex	2	8	2048	128	bf16	2.2179	2.2170	6.0223	6.0013	1172.07	15	1		128	8	2	8	1	8	3	3
vortex_fused	2	8	2048	128	bf16	0.2678	0.2683	2.0205	2.0252	152.40	15	1		128	8	2	8	1	8	3	3
sdpa_flash_attn_only	2	8	4096	128	bf16	0.3436	0.3395	1.1871	1.1872	192.50	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_attn_only	2	8	4096	128	bf16	0.1814	0.1807	0.6529	0.6511	160.50	15	1		128	8	2	8	1	8	3	0
sdpa_memeff_attn_only	2	8	4096	128	bf16	0.5338	0.5327	2.3447	2.3449	160.51	15	1		128	8	2	8	1	8	3	0
sdpa_flash_vortex	2	8	4096	128	bf16	0.8195	0.8188	2.4309	2.4320	320.29	15	1		128	8	2	8	1	8	3	0
sdpa_cudnn_vortex	2	8	4096	128	bf16	0.6738	0.6739	1.9062	1.9066	320.29	15	1		128	8	2	8	1	8	3	0
eager_vortex	2	8	4096	128	bf16	6.9533	6.9356	17.9051	17.8970	4336.03	15	1		128	8	2	8	1	8	3	0
vortex_fused	2	8	4096	128	bf16	0.3324	0.3305	1.6846	1.6893	240.70	15	1		128	8	2	8	1	8	3	0
sdpa_flash_attn_only	2	8	512	128	bf16	0.0496	0.0481	0.2070	0.1960	24.06	15	1		128	8	2	8	1	8	3	7
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0491	0.0465	0.1952	0.1893	20.06	15	1		128	8	2	8	1	8	3	7
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0399	0.0393	0.2181	0.2172	20.06	15	1		128	8	2	8	1	8	3	7
sdpa_flash_vortex	2	8	512	128	bf16	0.5527	0.5516	2.6296	2.6330	216.50	15	1		128	8	2	8	1	8	3	7
sdpa_cudnn_vortex	2	8	512	128	bf16	0.5563	0.5532	2.7050	2.6500	216.50	15	1		128	8	2	8	1	8	3	7
eager_vortex	2	8	512	128	bf16	0.8382	0.6130	3.7640	3.7942	250.72	15	1		128	8	2	8	1	8	3	7
vortex_fused	2	8	512	128	bf16	0.1434	0.1434	1.2459	1.2388	86.20	15	1		128	8	2	8	1	8	3	7
sdpa_flash_attn_only	2	8	4096	128	bf16	0.3409	0.3437	1.1822	1.1856	192.50	15	1		128	8	2	8	1	8	3	1
sdpa_cudnn_attn_only	2	8	4096	128	bf16	0.1821	0.1821	0.6484	0.6468	160.50	15	1		128	8	2	8	1	8	3	1
