impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
sdpa_flash_attn_only	2	8	512	128	bf16	0.0492	0.0471	0.2027	0.1993	24.06	20	1		128	8	2	8	1	8	3	0
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0500	0.0470	0.1897	0.1870	20.06	20	1		128	8	2	8	1	8	3	0
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0393	0.0384	0.2631	0.2685	20.06	20	1		128	8	2	8	1	8	3	0
sdpa_flash_vortex	2	8	512	128	bf16	0.1678	0.1654	0.8593	0.8529	40.07	20	1		128	8	2	8	1	8	3	0
sdpa_cudnn_vortex	2	8	512	128	bf16	0.1789	0.1772	0.8642	0.8629	40.07	20	1		128	8	2	8	1	8	3	0
eager_vortex	2	8	512	128	bf16	0.2532	0.2515	1.6802	1.6698	148.28	20	1		128	8	2	8	1	8	3	0
vortex_fused	2	8	512	128	bf16	0.0780	0.0766	0.7019	0.7126	86.20	20	1		128	8	2	8	1	8	3	0
sdpa_flash_attn_only	2	8	512	128	bf16	0.0486	0.0465	0.1922	0.1896	24.06	20	1		128	8	2	8	1	8	3	1
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0478	0.0462	0.1983	0.1832	20.06	20	1		128	8	2	8	1	8	3	1
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0392	0.0385	0.2187	0.2185	20.06	20	1		128	8	2	8	1	8	3	1
sdpa_flash_vortex	2	8	512	128	bf16	0.2754	0.2814	1.1474	1.1124	120.13	20	1		128	8	2	8	1	8	3	1
sdpa_cudnn_vortex	2	8	512	128	bf16	0.2625	0.2617	1.7044	1.6857	120.13	20	1		128	8	2	8	1	8	3	1
eager_vortex	2	8	512	128	bf16	0.3160	0.3131	2.5614	2.5170	154.35	20	1		128	8	2	8	1	8	3	1
vortex_fused	2	8	512	128	bf16	0.0952	0.0940	0.6715	0.6761	86.20	20	1		128	8	2	8	1	8	3	1
sdpa_flash_attn_only	2	8	512	128	bf16	0.0493	0.0468	0.1923	0.1901	24.06	20	1		128	8	2	8	1	8	3	3
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0463	0.0453	0.1831	0.1817	20.06	20	1		128	8	2	8	1	8	3	3
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0396	0.0387	0.2197	0.2175	20.06	20	1		128	8	2	8	1	8	3	3
sdpa_flash_vortex	2	8	512	128	bf16	0.3576	0.3558	1.8036	1.8544	152.25	20	1		128	8	2	8	1	8	3	3
sdpa_cudnn_vortex	2	8	512	128	bf16	0.3682	0.3682	2.5116	2.5624	152.25	20	1		128	8	2	8	1	8	3	3
eager_vortex	2	8	512	128	bf16	0.4178	0.4154	3.6964	3.7627	186.47	20	1		128	8	2	8	1	8	3	3
vortex_fused	2	8	512	128	bf16	0.1063	0.1042	0.9111	0.8860	86.20	20	1		128	8	2	8	1	8	3	3
sdpa_flash_attn_only	2	8	512	128	bf16	0.0488	0.0472	0.1942	0.1930	24.06	20	1		128	8	2	8	1	8	3	5
sdpa_cudnn_attn_only	2	8	512	128	bf16	0.0489	0.0461	0.2347	0.2542	20.06	20	1		128	8	2	8	1	8	3	5
sdpa_memeff_attn_only	2	8	512	128	bf16	0.0388	0.0382	0.2177	0.2173	20.06	20	1		128	8	2	8	1	8	3	5
sdpa_flash_vortex	2	8	512	128	bf16	0.4558	0.4527	3.2226	3.2780	184.38	20	1		128	8	2	8	1	8	3	5
sdpa_cudnn_vortex	2	8	512	128	bf16	0.7250	0.7220	3.6245	3.6962	184.38	20	1		128	8	2	8	1	8	3	5
eager_vortex	2	8	512	128	bf16	0.5184	0.5175	5.0360	5.1664	218.60	20	1		128	8	2	8	1	8	3	5
